date,count
2014-04-17,31455
2014-04-18,28909
2014-04-19,23132
2014-04-20,7508
2014-04-21,28443
2014-04-22,29716
2014-04-23,35529
2014-04-24,37938
2014-04-25,36780
2014-04-26,23492
2014-04-27,10051
2014-04-28,36420
2014-04-29,38069
2014-04-30,22349
2014-05-01,39289
2014-05-02,38490
2014-05-03,25197
2014-05-04,9097
2014-05-05,37303
2014-05-06,40276
2014-05-07,37109
2014-05-08,36635
2014-05-09,35504
2014-05-10,24195
2014-05-11,7404
2014-05-12,34970
2014-05-13,37062
2014-05-14,32250
2014-05-15,35645
2014-05-16,31607
2014-05-17,22694
2014-05-18,8095
2014-05-19,34086
2014-05-20,37461
2014-05-21,34237
2014-05-22,33987
2014-05-23,33108
2014-05-24,20787
2014-05-25,6452
2014-05-26,5420
2014-05-27,36057
2014-05-28,34405
2014-05-29,31568
2014-05-30,34681
2014-05-31,22440
2014-06-01,8335
2014-06-02,37989
2014-06-03,36210
2014-06-04,34195
2014-06-05,28196
2014-06-06,37738
2014-06-07,23631
2014-06-08,5936
2014-06-09,30763
2014-06-10,38019
2014-06-11,34222
2014-06-12,36360
2014-06-13,29457
2014-06-14,19473
2014-06-15,4993
2014-06-16,32450
2014-06-17,33220
2014-06-18,30230
2014-06-19,33906
2014-06-20,31138
2014-06-21,19680
2014-06-22,5148
2014-06-23,28391
2014-06-24,30665
2014-06-25,27302
2014-06-26,9
2014-06-27,14
2014-06-28,7
2014-06-29,10
2014-06-30,30
