date,count
2015-04-06,33452
2015-04-07,34548
2015-04-08,29602
2015-04-09,29571
2015-04-10,27496
2015-04-11,21466
2015-04-12,9409
2015-04-13,37319
2015-04-14,39419
2015-04-15,35104
2015-04-16,41864
2015-04-17,39050
2015-04-18,23758
2015-04-19,9247
2015-04-20,28167
2015-04-21,41010
2015-04-22,36651
2015-04-23,42343
2015-04-24,40690
2015-04-25,23445
2015-04-26,9165
2015-04-27,37902
2015-04-28,41937
2015-04-29,36732
2015-04-30,42449
2015-05-01,40971
2015-05-02,22729
2015-05-03,8817
2015-05-04,36400
2015-05-05,42752
2015-05-06,39452
2015-05-07,43789
2015-05-08,41622
2015-05-09,24109
2015-05-10,9216
2015-05-11,39859
2015-05-12,42384
2015-05-13,39733
2015-05-14,37882
2015-05-15,42719
2015-05-16,21595
2015-05-17,9247
2015-05-18,39920
2015-05-19,41930
2015-05-20,39239
2015-05-21,44304
2015-05-22,42215
2015-05-23,22071
2015-05-24,7828
2015-05-25,5909
2015-05-26,42826
2015-05-27,39252
2015-05-28,42367
2015-05-29,42235
2015-05-30,23831
2015-05-31,7792
2015-06-01,33716
2015-06-02,38324
2015-06-03,42500
2015-06-04,40824
2015-06-05,43531
2015-06-06,23998
2015-06-07,10373
2015-06-08,41464
2015-06-09,43209
2015-06-10,41570
2015-06-11,43475
2015-06-12,38443
2015-06-13,22980
2015-06-14,8784
2015-06-15,37719
2015-06-16,43150
2015-06-17,40059
2015-06-18,42899
2015-06-19,40660
2015-06-20,20983
2015-06-21,8212
2015-06-22,40538
2015-06-23,41133
2015-06-24,38762
2015-06-25,38484
2015-06-26,38897
2015-06-27,20933
2015-06-28,8119
2015-06-29,33292
2015-06-30,37068
